Antworten,"Vollständiger Name",Q01_Einverständniserklärung,Q02_Teilnahme,Q03_Meinung,"Q04_Menge->1: Deutlich zu wenig, 2: Etwas zu wenig, 3: Genau richtig, 4: Etwas zu viel, 5: Deutlich zu viel","Q05_Länge->1: Deutlich zu kurz, 2: Etwas zu kurz, 3: Genau richtig, 4: Etwas zu lang, 5: Deutlich zu lang","Q06_Motivation->1: Deutlich weniger motivierend, 2: Weniger motivierend, 3: Etwa gleich, 4: Mehr motivierend, 5: Deutlich mehr motivierend","Q07_Lernerfolg->1: Deutlich geringer, 2: Etwas geringer, 3: Etwa gleich, 4: Etwa höher, 5: Deutlich höher","Q08_Positive Aspekte->Storytelling / Kreativität der Fragen","Q08_Positive Aspekte->Wettkampf, Rangliste","Q08_Positive Aspekte->Punkte sammeln","Q08_Positive Aspekte->Anspannung, Zeitdruck","Q08_Positive Aspekte->Ansprechende Darstellung","Q08_Positive Aspekte->Nichts von alledem","Q09_Weitere positive Aspekte","Q10_Negative Aspekte->Storytelling / Kreativität der Fragen","Q10_Negative Aspekte->Wettkampf, Rangliste","Q10_Negative Aspekte->Punkte sammeln","Q10_Negative Aspekte->Anspannung, Zeitdruck","Q10_Negative Aspekte->Darstellung","Q10_Negative Aspekte->Nichts von alledem","Q11_Weitere negative Aspekte","Q12_Kreativität der Fragen->1: Sehr störend / ablenkend, 2: Etwas störend / ablenkend, 3: Neutral, 4: Eher positiv / motivierend, 5: Sehr positiv / motivierend",Q13_Gesamtbewertung->Gesamtbewertung,Q14_Verbesserungsvorschläge,"Q15_Offenes Feedback"
17510,Anonym67,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,0,0,1,0,0,0,"Das die Quizze online bleiben und man sich diese zur Klausurvorbereitung nochmal anschauen kann. ",0,0,0,0,0,1,"keine negativen punkte",3,9,"keine Vorschläge die Quizze waren schon sehr gut ","nein "
17612,Anonym68,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,0,0,0,1,0,-,0,0,0,0,0,1,-,5,10,-,-
17461,Anonym69,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,3,4,1,1,0,0,0,0,/,0,0,0,0,0,1,/,2,9,/,"Finde die Menti-Quizze vom Programm her etwas doofe, aber das liegt ja nicht am Veranstalter und was Bessereres kenn ich auch nicht."
17500,Anonym70,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,0,0,0,0,0," ",0,0,0,0,0,1," ",5,10," "," "
17487,Anonym71,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,1,0,0,1,0,"Die ausführliche Erklärung der richtigen Antwort am Ende jeder Frage",0,0,0,0,0,1,Keinen,5,10,/,/
17465,Anonym72,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,4,4,4,0,0,0,0,0,1,"Wiederholung einiger wichtigen Begriffe, die dann auch nochmal kurz erklärt wurden",1,0,0,0,0,0," ",2,6,"Die Fragen etwas lustiger zu gestalten fand ich generell eine gute Idee. Allerdings waren die Geschichten teilweise zu lang und bei einigen konnte ich den Hintergrund leider nicht nachvollziehen, da ich zB einige Filme nicht kannte. Vielleicht könnte man eher/ oder zumindest häufiger Hintergrundthemen aus dem Alltag oder aktuellen Themen aus den Nachrichten oä verwenden."," "
17520,Anonym73,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",1,2,5,2,1,1,1,0,0,0,"Alles, Mentimeter hat riesen Spaß gemacht!",0,0,0,0,0,1,Nichts,5,10,"Mehr auf Vorlesung und Inhalte zugeschnittene Fragen","Alles super!"
17481,Anonym74,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",2,3,3,2,1,1,1,0,0,0,-,0,0,0,0,0,1,-,3,7,"Nicht in der nächsten Vorlesung sondern in der dazugehörigen",-
17479,Anonym75,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,3,2,1,1,0,0,1,0,%,0,0,0,1,0,0,"Durch den Zeitdruck bzw. die Bepunktung nach Antwortzeit hat man sich mehr darauf fokussiert eine Antwort schnell zu geben als eine Antwort gut (im Sinne von richtig und durchdacht) zu geben.",5,8,"Zeitdruck etwas verringern; Stoff aus den Quizzen auf die Vorlesung beziehen, in der man sich gerade befindet; Kreativität der Fragen beibehalten, jedoch sollte man gleichzeitig versuchen, die Kernfrage klarer bzw. aussagekräftiger zu formulieren, ebenso die Antwortmöglichkeiten (-> ""Buzzwords"" statt Umschreibungen) - besonders, wenn man noch nicht wirklich vertraut mit dem Stoff ist, fällt es sonst schwer die richtige Antwortmöglichkeit zu identifizieren.","Großes Lob für die Formulierungen und die Kreativität in den Geschichten, hat definitiv für den ein oder anderen Lacher gesorgt, was durchaus auch motivierend ist und aus dem Trott der Vorlesung heraussticht."
17494,Anonym76,1,"1 : An keinen","2 : Ich habe mich auf die Quizze gefreut",2,3,4,4,0,0,1,0,1,0,"Interaktivität, Spaß, guter Lerneffekt",0,0,1,0,1,0,Nein,2,9,"Kreativität der Fragen etwas ablenkend für mich, jedoch hat diese für Auflockerung gesorgt","Ich hatte durch die Quizzes einen guten Lerneffekt"
17473,Anonym77,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,4,4,1,1,0,1,0,0,"Es wurde sich Zeit für die Erstellung der Fragen genommen",0,0,0,0,0,1,-,5,10,-,-
25712,Anonym78,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,3,5,4,1,1,0,1,0,0,"das Snickers war der Ansporn überhaupt, weil ich morgens nicht gefrühstückt habe. Ein belegtes Brötchen wäre somit auch ein starkes Inzentiv gewesen.",0,0,0,0,0,1,"ich habe nie ein Snickers gewonnen :(",5,10,"ehrlich gesagt waren die Quizze schon sehr gut, die haben die Vorlesung immer wieder aufgelockert","Danke für den Shanty :D"
17460,Anonym79,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,3,1,1,1,0,0,0,"Gemeinschaftsgefühl in der Online-Vorlesung",0,0,0,0,0,1,Keine,5,10,"Auch mit in den Präsenzbetrieb im kommenden Wintersemester einbauen",Keines
17490,Anonym80,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,4,3,1,0,0,0,1,0,-,0,0,0,1,0,0,-,5,9,-,-
17445,Anonym81,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,2,1,0,0,0,1,0,"Nachbesprechung der Antworten und Erklärungen dazu",0,0,0,0,0,1,nope,4,9,"fällt nichts ein","fällt nichts ein"
17418,Anonym82,1,"2 : Ein oder zwei","2 : Ich habe mich auf die Quizze gefreut",3,3,4,4,1,1,0,1,0,0,"Die Präsentation der Quizze.",0,0,0,0,0,1,nein.,5,9,"Quizze genau dann in dem Moment zu verwenden, wenn man bemerkt, dass die Aufmerksamkeit nachlässt.",Nein.
17429,Anonym83,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,0,1,0,1,0,"Interakiv: nicht nur zuhören, sondern auch mitmachen",0,0,0,1,0,0,nein,3,8," "," "
17447,Anonym84,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,5,1,1,1,0,0,0,"""pause"" während der Vorlesung aber trotzdem inhaltlich genutzt ",0,0,0,0,0,1,"Nein, war alles top ",5,10,"war super so ",Nein
17426,Anonym85,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,4,3,1,0,0,0,1,0,Kreativität,0,1,0,1,0,0,Nein,5,9,/,/
17482,Anonym86,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,3,1,1,0,0,0,0,"die Erklärungen, warum eine Antwort richtig oder falsch war, waren sehr hilfreich",0,0,0,0,0,1,-/-,4,10,-/-,"Ich fühle mich als Student wertgeschätzt, da mir die Arbeit die vom Prof/Assistenten in die Ausarbeitung der Quizze fließt, zeigt, dass dem Prof seine Studenten am Herzen liegen."
17489,Anonym87,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,2,4,2,1,1,0,0,1,0,"Die Filmreferenzen",0,0,0,1,0,0,"Es war unklar, ob googlen und nachschlagen gewünscht ist.",4,9,"Nachher eine Kurzzusammenfassung der inhaltlichen Aspekte bereitstellen (um Inhalte mit den Quizzen verlinken zu können).  Manchmal waren die Fragen doch etwas unklar.","Kurz nach dem Quiz ist die Motivation zum Fortfahren mit der Vorlesung immer etwas gemindert. Zeitlich sind sie meiner Meinung nach am besten im letzten Drittel der Vorlesung platziert."
17518,Anonym88,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,1,0,0,1,0,"gute Abwechslung während der Vorlesung  sehr guter Lerneffekt  die Quizze haben Spaß gemacht",0,0,0,0,0,1,"das einzige, das man kritisieren könnte ist, dass nicht jeder Dozent diese Quizze benutzt :D",5,10,"in jeder Vorlesung ein Quiz haben",nein
17435,Anonym89,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",3,3,4,4,1,1,0,0,0,0,nein,0,0,0,1,0,0,nein,5,9,"manche Antworten empfand ich als zweideutig, so dass mir eine eindeutige Antwort schwer fiel.","Quizfragen haben Eindruck hinterlassen, so dass man sich gute Wissensnetzwerke erstellen konnte"
17424,Anonym90,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",2,3,4,4,1,1,0,0,1,0,"Exzellente Moderration",0,0,0,0,0,1,Nein,3,10,"fällt mir nichts ein","weiter so"
17609,Anonym91,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",3,3,4,4,0,0,1,0,1,0,nie,0,0,0,1,0,0,"Keine Erinnerung von die Frist",3,8,"Es gibt noch 1 Quiz , die nicht bewertet wird. Können Sie rechtzeitig den Quizzen korrigieren?",nie
17496,Anonym92,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,1,0,0,0,0,"Noch mit Einbezug des Chats ensteht mehr ein Gemeinschaftsgefühl als sonst während einer Vorlesung  Mir gefällt außerdem die Anonymität, da man so mit weniger Druck die Fragen beantworten kann",0,0,0,0,0,1,-,5,1,-,-
17503,Anonym93,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,0,1,0,1,0,.,0,0,0,0,0,1,.,5,10,.,.
25880,Anonym94,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,4,4,1,0,0,0,1,0,"Im Gegensatz zum passiven Zuhören bei der Vorlesung eine Auflockerung und Aktivierung in der Mitte der Vorlesung",0,0,0,0,0,1,nein,5,10,"Bei den hochgeladenen Folien eine Folie mit den Antwortmöglichkeiten VOR der Folie mit der Lösung, damit sie auch zur Wiederholung eingesetzt werden können.","Ich fand die Quizze super! Sie waren perfekt in der Mitte der Vorlesung, um die Konzentration nochmal aufzufrischen und Wissen zu vertiefen. Danke dafür!"
17499,Anonym95,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",2,2,5,4,1,0,0,0,0,1,"Tatsächlich war es meiner Ansicht nach viel besser, wenn es jeweils eine Erläuterung zu den Antwortmöglichkeiten gab. Somit konnte noch einmal über das Erlernte nachgedacht und Errata und Mißverständnisse geklärt werden. Da in diesem Teil der Vorlesung recht viele Fachbegriffe aufeinandertreffen, ist diese Form des Lernens etwas besser geeignet - so nach meiner Ansicht und dessen, was ich über eine positive Einstellung beim Lernvorgang weiß.",0,0,0,0,0,1,nein.,5,10,"NLP Kartenspiel?  Das war schon sehr gut.","Darf man Herrn Arnold als DSA Spielleiter buchen?"
17610,Anonym96,1,"2 : Ein oder zwei","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,4,2,1,1,0,1,0,0,-,0,0,0,0,0,1,-,4,10,-,-
17506,Anonym97,1,"2 : Ein oder zwei","5 : Die Quizze hätte ich lieber weggelassen",5,5,1,1,1,0,0,0,0,0,"Nein. Nur kreativ, aber auch nicht mehr.",0,0,0,1,0,0,"Ich hoffe mal, dass die Aufgaben in der Klausur nicht in einem solchen Format und (insbesondere besser verständlich) gestellt werden, denn ich fand es schwer bis kaum verständlich, auf was der Dozent hinaus wollte.  Auch fand ich das Format eher ein wenig komisch bis unangenehm, so dass ich die Fragen auch nicht ernst nehmen konnte und dies dadurch keinen Mehrwert hatte.",1,1,"Rückkehr zu einem verständlicheren Fragestellung, so dass man sich auch ernsthaft gedanken machen kann.","Wenn (und das hoffe ich) die Fragen in der Prüfung ein seriöses Format haben, dann wäre ich nun durchaus an dem Format interessiert und würde mich freuen, falls ein paar Beispielfragen (auch zum Üben vor der Prüfung) bereitgestellt werden könnten.    Trotzdem danke für den Versuch, auch wenn es nicht meinen Geschmack getroffen hat."
17428,Anonym98,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,0,0,1,1,0," ",0,0,0,0,0,1," ",5,9," "," "
17547,Anonym99,1,"2 : Ein oder zwei","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,1,0,0,1,0," ",0,0,0,0,0,1," ",4,9," "," "
17425,Anonym100,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,4,3,1,1,0,0,1,0,.,0,0,0,1,0,0,.,3,9,.,.
17495,Anonym101,1,"2 : Ein oder zwei","2 : Ich habe mich auf die Quizze gefreut",3,2,4,3,1,1,0,0,1,0,-,0,0,0,1,0,0," Alles andere war sehr ansprechend gestalten.",5,8,"Verpflichtend machen?",-
17498,Anonym102,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,2,4,5,1,1,1,0,0,0,"Das macht echt Lustig diesen Modul",0,0,0,0,0,1,keine,5,10,"es könnte noch ein paar Fragen geben.","Es ist schwierig zu Hause auf Online-Vorlesungen zu konzentrieren aber dank der Quizze hat mir dieser Modul aufgefallen und bei meiner Konzentration geholfen."
17441,Anonym103,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,3,1,1,0,0,1,0,N/A,0,0,0,0,0,1,N/A,4,9,N/A,N/A
17431,Anonym104,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,1,0,1,0,0,---,0,0,0,0,0,1,---,5,9,---,---
17491,Anonym105,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,1,1,0,0,0,"Ich fand die Fragen einfach super. Diese erforderten schon eine gewisse Auseinandersetzung mit den VL-Inhalten, da man das Gelernte auf ""neue  Situationen"" anwenden sollte. Also, keine direkte Wiederholung von den Sachen, die auf den Folien standen - richtig gut. ",0,0,0,1,0,0,nein,5,10,"Ich hätte mir mehr Fragen in einem Quizz gewünscht :) macht echt viel Spaß","Ich habe den Lerneffekt deutlich gespürt: vor jeder Vorlesung habe ich mir die Inhalte der vorherigen VL angeguckt, damit ich bei dem kommenden Quizz nicht auf dem letzten Platz lande. Somit habe ich sehr viel gelernt. "
17512,Anonym106,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,0,0,0,1,0,"- Lockert die klassische Vorlesungs Atmospäare etwas auf  - Hilft sich auf den zweiten Teil der Vorlesung zu konzentrieren   ",0,0,0,0,0,1,-/-,5,10,-/-,"Frage 10, finde ich ein wenig gebiased. Ich meine, die Testfrage: ""Was ist Lemmatisierung?"" ist ja nun nicht wirklich sonderlich interessant. Jede Darstellung ist im Gegensatz zu einem Satz, der die reinen Information enthält, interessanter :D    Ansonsten: Viel mehr Vorlesungen sollten eine Art Interaktion in der Vorlesungs ""Halbzeit"" nutzen.   Wenn ich vergleiche:  - 120 Minuten durchgängig Vorlesung  - 100 Minuten Vorlesung + 20 Minuten Quiz     Glaube ich, dass die zweite Möglichkeit für mich persöhnlich immer effektiver ist. Wobei man auch sagen muss, dass die Quizze  bei anderen Dozenten möglicherweise weniger effektiv sind, da einer der Hauptgründe für den Erfolg der Quizze, im Arbeitsaufwand des Dozenten liegt (Kompliment an Dr. Arnold :D)."
17511,Anonym107,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",4,4,3,3,0,0,1,1,1,0,"ich kann durch Quizze die Inhalt der Verlesungen widerholen.",0,0,0,0,0,1,"manchimal ist Quizze so komplieziert.",3,10,"ich finde, Quizze ist sehr gut.",Nie
17456,Anonym108,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,1,0,0,0,0,Humor,0,0,0,0,0,1,Nein,5,10,"mehr Prüfungsrelevanz?",Nein
